second,maxFlight,flying,agressiveAvgFlying,lazyAvgFlying,bothAvgFlying
1,1,1,0.10,0.00,0.09
55,1,1,1.00,0.00,0.47
188,1,1,1.07,0.07,0.52
402,1,1,1.34,0.41,0.99
695,1,2,1.44,0.40,0.96
1063,1,1,1.44,0.39,0.83
1342,1,2,1.34,0.40,0.96
1613,1,1,1.18,0.16,0.52
1904,1,2,1.34,0.30,0.74
2171,1,2,1.41,0.37,0.84
2461,1,2,1.44,0.49,1.04
2819,1,1,1.18,0.16,0.55
3189,1,2,1.46,0.42,0.93
3562,1,1,1.30,0.27,0.66
3940,1,2,1.53,0.48,1.01
4265,1,1,1.38,0.34,0.76
4585,1,2,1.51,0.46,0.99
4870,1,1,1.21,0.19,0.62
5219,1,2,1.44,0.50,1.11
5572,1,2,1.37,0.44,0.98
5930,1,1,1.60,0.52,1.00
6235,1,2,1.41,0.37,0.87
6523,1,1,1.23,0.21,0.62
6813,1,1,1.23,0.31,0.85
7176,1,2,1.51,0.46,0.92
7542,1,3,1.60,0.53,1.13
7917,1,2,1.39,0.35,0.91
8295,1,1,1.42,0.38,0.84
8618,1,1,1.34,0.40,0.98
8941,1,2,1.32,0.29,0.76
9321,1,1,1.15,0.13,0.53
9682,1,2,1.41,0.37,0.91
10047,1,1,1.23,0.31,0.87
10430,1,1,1.30,0.36,0.92
