seconds,total,pass,fail,drop
1,0,0,0,0
3,2,2,0,0
3,3,3,0,0
4,4,3,0,1
5,5,3,0,2
6,6,5,0,1
7,7,6,0,1
8,8,4,0,3
9,9,8,0,1
10,10,8,0,1
11,11,4,0,5
12,11,4,0,6
13,13,4,1,3
14,14,8,3,6
15,14,10,3,4
16,15,6,0,2
17,17,0,6,7
18,17,7,10,1
19,18,6,9,4
20,19,6,8,4
21,21,3,11,3
22,20,6,13,5
23,19,3,10,5
24,24,0,15,1
25,23,1,22,4
26,25,8,15,2
27,26,11,12,9
28,25,1,12,1
29,28,5,19,3
30,28,7,18,10
31,28,6,12,6
32,27,1,18,6
32,21,0,23,0
33,10,0,21,1
33,31,0,9,2
34,31,0,29,0
35,26,0,32,0
36,31,0,26,0
37,33,0,32,0
38,31,0,30,0
39,34,0,32,0
40,37,0,34,0
41,38,0,38,0
41,39,0,37,0
42,40,0,40,0
43,39,0,39,0
44,40,0,40,0
45,41,0,39,0
46,38,0,41,0
47,41,0,39,0
48,43,0,41,0
49,38,0,43,0
49,21,0,36,0
50,37,0,22,0
50,32,0,38,0
51,33,0,32,0
52,33,0,31,0
53,45,0,35,0
53,45,0,45,0
54,21,0,44,0
54,38,0,22,0
55,30,0,38,0
56,40,0,29,0
57,44,0,41,0
57,46,0,43,0
58,42,0,46,0
59,42,0,43,0
59,37,0,43,0
60,48,0,35,0
61,54,0,49,0
62,47,0,53,0
63,49,0,46,0
63,51,0,51,0
64,48,0,50,0
65,44,0,48,0
66,47,0,44,0
66,49,0,47,0
67,48,0,50,0
68,52,0,49,0
69,56,0,50,0
69,44,0,55,0
70,35,0,46,0
71,52,0,34,0
71,50,0,53,0
72,58,0,50,0
73,50,0,58,0
73,51,0,47,0
74,41,0,54,0
75,53,0,39,0
75,50,0,55,0
76,49,0,49,0
77,58,0,51,0
77,51,0,56,0
78,55,0,52,0
79,53,0,57,0
79,34,0,47,0
80,43,0,38,0
80,35,0,41,0
81,48,0,37,0
81,52,0,49,0
82,45,0,51,0
83,64,0,45,0
84,60,0,59,0
84,62,0,65,0
85,63,0,66,0
86,57,0,56,0
86,56,0,58,0
87,51,0,58,0
88,50,0,48,0
88,67,0,53,0
89,60,0,66,0
90,50,0,61,0
90,59,0,50,0
91,57,0,59,0
91,64,0,55,0
92,33,0,65,0
92,44,0,33,0
93,58,0,45,0
93,46,0,58,0
94,63,0,47,0
95,50,0,60,0
95,73,0,51,0
96,56,0,72,0
97,59,0,59,0
97,64,0,57,0
98,68,0,65,0
99,72,0,69,0
99,55,0,71,0
100,55,0,54,0
100,65,0,56,0
101,63,0,64,0
101,29,0,64,0
102,46,0,29,0
103,74,0,45,0
103,58,0,75,0
104,71,0,57,0
105,78,0,72,0
105,66,0,79,0
106,64,0,65,0
106,67,0,63,0
107,70,0,65,0
108,67,0,73,0
108,56,0,66,0
109,44,0,47,0
109,9,0,40,0
109,33,0,23,0
110,68,0,31,0
110,59,0,70,0
111,58,0,57,0
111,71,0,60,0
112,65,0,70,0
112,54,0,67,0
113,53,0,49,0
113,62,0,57,0
114,68,0,63,0
115,68,0,67,0
115,58,0,67,0
116,66,0,59,0
116,63,0,66,0
117,66,0,63,0
117,46,0,65,0
118,61,0,47,0
118,58,0,64,0
119,43,0,53,0
119,13,0,37,0
119,66,0,21,0
120,76,0,64,0
120,54,0,77,0
121,72,0,53,0
121,69,0,74,0
122,63,0,67,0
123,74,0,66,0
123,68,0,72,0
124,80,0,69,0
124,74,0,78,0
125,67,0,76,0
126,78,0,65,0
126,67,0,83,0
127,68,0,61,0
127,61,0,72,0
128,56,0,59,0
128,66,0,56,0
129,56,0,66,0
129,59,0,57,0
129,59,0,63,0
130,64,0,54,0
130,54,0,64,0
131,54,0,55,0
131,75,0,55,0
132,49,0,72,0
132,73,0,49,0
133,77,0,75,0
133,89,0,75,0
134,74,0,90,0
135,71,0,72,0
135,93,0,75,0
136,89,0,91,0
136,74,0,89,0
137,72,0,73,0
137,66,0,74,0
138,76,0,64,0
138,61,0,76,0
139,68,0,63,0
139,76,0,68,0
140,70,0,72,0
140,69,0,72,0
141,59,0,69,0
141,70,0,63,0
142,84,0,68,0
142,68,0,83,0
143,76,0,67,0
144,77,0,78,0
144,80,0,76,0
145,75,0,82,0
145,75,0,73,0
146,82,0,75,0
146,89,0,83,0
147,80,0,87,0
147,83,0,86,0
148,86,0,78,0
149,85,0,86,0
149,94,0,86,0
150,97,0,92,0
150,83,0,98,0
151,91,0,83,0
152,83,0,91,0
152,82,0,86,0
153,97,0,79,0
153,94,0,98,0
154,85,0,92,0
155,92,0,87,0
155,85,0,91,0
156,84,0,86,0
156,92,0,81,0
157,80,0,97,0
157,68,0,78,0
